id,period,yield
166,200104,1.17
166,200105,1.55
166,200106,1.0
166,200107,0.97
166,200108,0.58
166,200109,0.54
166,200110,0.36
166,200111,0.57
166,200112,1.19
167,200101,0.46
167,200102,0.15
167,200103,0.36
167,200104,0.98
167,200105,1.33
167,200106,0.9
167,200107,0.59
167,200108,0.61
167,200109,0.57
167,200110,0.49
167,200111,0.59
167,200112,0.81
168,200101,0.38
168,200102,0.11
168,200103,0.02
168,200104,1.13
168,200105,1.36
168,200106,0.9
168,200107,0.97
168,200108,0.56
168,200109,0.24
168,200110,0.56
168,200111,0.82
168,200112,1.1
169,200101,0.5
169,200102,0.01
169,200103,0.13
169,200104,1.04
169,200105,1.41
169,200106,0.91
169,200107,0.43
169,200108,0.73
169,200109,0.37
169,200110,0.79
169,200111,0.77
169,200112,0.19
170,200101,0.71
170,200102,0.22
170,200103,0.81
170,200104,1.07
170,200105,1.6
170,200106,1.0
170,200107,0.86
170,200108,0.62
170,200109,0.72
170,200110,0.23
170,200111,0.57
170,200112,1.43
171,200101,2.0
171,200102,-1.55
171,200103,-0.12
171,200104,0.73
171,200105,1.14
171,200106,-0.54
171,200107,1.03
171,200108,0.41
171,200109,0.14
171,200110,0.4
171,200111,0.69
171,200112,2.6
172,200101,0.86
172,200102,0.21
172,200103,0.79
172,200104,1.13
172,200105,1.73
172,200106,1.06
172,200107,0.8
172,200108,0.61
172,200109,0.84
172,200110,0.15
172,200111,0.53
172,200112,1.58
180,200101,0.26
180,200102,0.33
180,200103,-0.1
180,200104,0.97
180,200105,1.2
180,200106,1.16
180,200107,1.05
180,200108,0.74
180,200109,0.45
180,200110,0.67
180,200111,0.46
180,200112,1.04
209,200101,2.57
209,200102,-0.99
209,200103,0.82
209,200104,0.53
209,200105,2.13
209,200106,-0.19
209,200107,0.2
209,200108,1.94
209,200109,0.47
209,200110,0.55
209,200111,-1.55
209,200112,1.72
214,200101,0.4
214,200102,0.17
214,200103,0.05
214,200104,1.4
214,200105,1.33
214,200106,0.99
214,200107,0.96
214,200108,0.43
214,200109,0.05
214,200110,0.47
214,200111,0.8
214,200112,1.59
657,200101,0.73
657,200102,1.24
657,200103,-0.22
657,200104,2.05
657,200105,1.55
657,200106,0.59
657,200107,1.12
657,200108,0.26
657,200109,0.28
657,200110,-0.16
657,200111,0.74
657,200112,5.56
661,200101,
661,200102,
661,200103,
661,200104,
661,200105,
661,200106,
661,200107,
661,200108,
661,200109,
661,200110,
661,200111,
661,200112,
662,200101,0.65
662,200102,1.11
662,200103,0.65
662,200104,1.2
662,200105,0.67
662,200106,0.75
662,200107,0.33
662,200108,0.49
662,200109,0.46
662,200110,0.23
662,200111,1.01
662,200112,0.9
664,200101,
664,200102,
664,200103,
664,200104,
664,200105,
664,200106,
664,200107,
664,200108,
664,200109,
664,200110,
664,200111,
664,200112,
665,200101,-0.29
665,200102,0.72
665,200103,-1.45
665,200104,2.61
665,200105,1.12
665,200106,1.03
665,200107,1.87
665,200108,-0.31
665,200109,-1.03
665,200110,0.43
665,200111,1.86
665,200112,4.77
666,200101,1.04
666,200102,0.92
666,200103,-0.31
666,200104,2.26
666,200105,1.17
666,200106,0.91
666,200107,-0.05
666,200108,-0.36
666,200109,-0.45
666,200110,1.74
666,200111,1.08
666,200112,1.22
667,200101,1.5
667,200102,1.03
667,200103,1.21
667,200104,1.84
667,200105,1.72
667,200106,1.2
667,200107,0.93
667,200108,0.38
667,200109,0.56
667,200110,-0.01
667,200111,0.64
667,200112,3.02
671,200101,
671,200102,
671,200103,
671,200104,
671,200105,
671,200106,
671,200107,
671,200108,
671,200109,
671,200110,
671,200111,
671,200112,
729,200101,0.0
729,200102,0.0
729,200103,0.0
729,200104,0.0
729,200105,0.0
729,200106,0.0
729,200107,0.0
729,200108,0.0
729,200109,0.0
729,200110,0.0
729,200111,0.0
729,200112,0.0
131,200201,0.7
131,200202,0.75
131,200203,0.23
131,200204,0.43
131,200205,1.49
131,200206,0.14
131,200207,1.47
131,200208,0.83
131,200209,-0.28
131,200210,0.5
131,200211,1.55
131,200212,-0.29
141,200201,0.57
141,200202,1.02
141,200203,0.35
141,200204,0.46
141,200205,1.41
141,200206,0.92
141,200207,1.59
141,200208,0.95
141,200209,-0.37
141,200210,0.6
141,200211,1.39
141,200212,-0.28
156,200201,0.71
156,200202,0.66
156,200203,0.15
156,200204,0.45
156,200205,1.6
156,200206,0.25
156,200207,1.5
156,200208,0.84
156,200209,-0.28
156,200210,0.6
156,200211,1.64
156,200212,-0.3
162,200201,0.7
162,200202,0.85
162,200203,0.29
162,200204,0.57
162,200205,1.87
162,200206,0.48
162,200207,1.37
162,200208,0.81
162,200209,-0.3
162,200210,0.48
162,200211,1.57
162,200212,-0.55
163,200201,1.87
163,200202,0.76
163,200203,-0.34
163,200204,-0.34
163,200205,0.82
163,200206,0.48
163,200207,1.88
163,200208,1.04
163,200209,0.59
163,200210,1.46
163,200211,0.78
163,200212,-0.5
164,200201,0.63
164,200202,0.9
164,200203,0.17
164,200204,0.43
164,200205,1.77
164,200206,0.77
164,200207,1.52
164,200208,0.78
164,200209,-0.08
164,200210,0.7
164,200211,1.34
164,200212,-0.4
165,200201,0.53
165,200202,0.85
165,200203,0.36
165,200204,0.55
165,200205,1.64
165,200206,0.6
165,200207,1.6
165,200208,0.71
165,200209,-0.3
165,200210,0.52
165,200211,1.46
165,200212,-0.34
166,200201,0.7
166,200202,0.75
166,200203,0.1
166,200204,0.48
166,200205,1.82
166,200206,0.58
166,200207,1.41
166,200208,0.88
166,200209,-0.33
166,200210,0.51
166,200211,1.54
166,200212,-0.47
167,200201,0.74
167,200202,1.06
167,200203,0.92
167,200204,0.15
167,200205,1.74
167,200206,1.09
167,200207,1.43
167,200208,0.87
167,200209,-0.09
167,200210,0.67
167,200211,1.21
167,200212,-0.38
168,200201,0.68
168,200202,0.86
168,200203,0.3
168,200204,0.23
168,200205,1.66
168,200206,0.57
168,200207,1.6
168,200208,0.79
168,200209,-0.6
168,200210,0.44
168,200211,1.79
168,200212,-0.61
169,200201,0.33
169,200202,1.18
169,200203,0.79
169,200204,0.58
169,200205,1.75
169,200206,1.02
169,200207,1.72
169,200208,0.92
169,200209,-0.05
169,200210,0.63
169,200211,1.35
169,200212,-0.39
170,200201,0.71
170,200202,0.87
170,200203,0.19
170,200204,0.47
170,200205,1.86
170,200206,0.67
170,200207,1.5
170,200208,0.78
170,200209,-0.06
170,200210,0.66
170,200211,1.39
170,200212,-0.53
171,200201,0.31
171,200202,1.33
171,200203,0.32
171,200204,1.49
171,200205,1.66
171,200206,0.84
171,200207,2.95
